,iso_code,country,year,methane
0,MLT,Malta,2000,0.22
1,MLT,Malta,2001,0.22
2,MLT,Malta,2002,0.23
3,MLT,Malta,2003,0.24
4,NLD,Netherlands,2000,23.18
5,NLD,Netherlands,2001,22.58
6,NLD,Netherlands,2002,21.58
7,NLD,Netherlands,2003,20.8
